"iso3","country_name","disaggregation","category","subject","grade_band","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AZE","Azerbaijan","Sex","Female","numeracy","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",358,79.2321802226446,358,77.0949720670391,79.2321802226446
"AZE","Azerbaijan","Sex","Female","reading","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",367,60.2157612659962,367,55.3133514986376,60.2157612659962
"AZE","Azerbaijan","Sex","Female","reading","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",456,72.089233593978,456,70.3947368421053,72.089233593978
"AZE","Azerbaijan","Sex","Female","reading","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",358,74.5988211518629,358,70.6703910614525,74.5988211518629
"AZE","Azerbaijan","Wealth","Fourth","numeracy","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",138,70.0867983000636,138,63.0434782608696,70.0867983000636
"AZE","Azerbaijan","Wealth","Fourth","numeracy","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",136,85.3744981145447,136,83.8235294117647,85.3744981145447
"AZE","Azerbaijan","Wealth","Fourth","numeracy","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",128,90.0533411109746,128,88.28125,90.0533411109746
"AZE","Azerbaijan","Wealth","Fourth","reading","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",138,66.8230418123291,138,60.1449275362319,66.8230418123291
"AZE","Azerbaijan","Wealth","Fourth","reading","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",136,72.4052759939601,136,75.7352941176471,72.4052759939601
"AZE","Azerbaijan","Wealth","Fourth","reading","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",128,81.874419315331,128,79.6875,81.874419315331
"AZE","Azerbaijan","Sex","Male","numeracy","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",492,60.0190467397131,492,52.8455284552846,60.0190467397131
"AZE","Azerbaijan","Sex","Male","numeracy","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",589,76.8020210949959,589,71.6468590831918,76.8020210949959
"AZE","Azerbaijan","Sex","Male","numeracy","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",429,82.2595029667889,429,77.6223776223776,82.2595029667889
"AZE","Azerbaijan","Sex","Male","reading","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",492,52.5090141352197,492,49.5934959349593,52.5090141352197
"AZE","Azerbaijan","Sex","Male","reading","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",589,71.8074065558599,589,67.062818336163,71.8074065558599
"AZE","Azerbaijan","Sex","Male","reading","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",429,71.7352544065192,429,72.960372960373,71.7352544065192
"AZE","Azerbaijan","Wealth","Middle","numeracy","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",208,68.3035250282112,208,60.5769230769231,68.3035250282112
"AZE","Azerbaijan","Wealth","Middle","numeracy","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",246,80.8758381374549,246,78.0487804878049,80.8758381374549
"AZE","Azerbaijan","Wealth","Middle","numeracy","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",176,87.6917318679418,176,84.6590909090909,87.6917318679418
"AZE","Azerbaijan","Wealth","Middle","reading","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",208,60.0814860801088,208,59.1346153846154,60.0814860801088
"AZE","Azerbaijan","Wealth","Middle","reading","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",246,73.7826940152533,246,73.5772357723577,73.7826940152533
"AZE","Azerbaijan","Wealth","Middle","reading","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",176,69.4570642888177,176,73.8636363636364,69.4570642888177
"AZE","Azerbaijan","Wealth","Poorest","numeracy","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",220,31.9785557698536,220,30.9090909090909,31.9785557698536
"AZE","Azerbaijan","Wealth","Poorest","numeracy","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",268,54.8621070481285,268,55.2238805970149,54.8621070481285
