"iso3","country_name","disaggregation","category","subject","grade","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AFG","Afghanistan","Wealth","Richest","numeracy",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",78,63.0549148609439,78,61.5384615384615,57.2151321003432
"AFG","Afghanistan","Wealth","Richest","numeracy",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",7,40.8773835373632,7,57.1428571428571,44.88562838667
"AFG","Afghanistan","Wealth","Richest","reading",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",110,5.85650000143418,110,4.54545454545455,7.0763167910575
"AFG","Afghanistan","Wealth","Richest","reading",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",140,19.7583080067179,140,17.1428571428571,18.3903066140353
"AFG","Afghanistan","Wealth","Richest","reading",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",145,31.2106056891582,145,28.9655172413793,29.2543252980053
"AFG","Afghanistan","Wealth","Richest","reading",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",116,41.4569135003785,116,43.9655172413793,39.8493312689213
"AFG","Afghanistan","Wealth","Richest","reading",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",122,43.0326960960874,122,48.3606557377049,53.3365638308573
"AFG","Afghanistan","Wealth","Richest","reading",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",125,72.6068657319347,125,67.2,61.4734960182522
"AFG","Afghanistan","Wealth","Richest","reading",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",78,68.7234475770405,78,61.5384615384615,61.9409846069958
"AFG","Afghanistan","Wealth","Richest","reading",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",7,49.2294941416932,7,42.8571428571429,54.6902858985071
"AFG","Afghanistan","Area","Rural","numeracy",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",752,2.19653649265827,752,3.05851063829787,2.09838144841538
"AFG","Afghanistan","Area","Rural","numeracy",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",718,11.7730932116732,718,10.8635097493036,11.3591587177705
"AFG","Afghanistan","Area","Rural","numeracy",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",586,18.9485369542058,584,17.9794520547945,20.352265169021
"AFG","Afghanistan","Area","Rural","numeracy",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",506,28.4661432904408,506,30.0395256916996,28.9600532055547
"AFG","Afghanistan","Area","Rural","numeracy",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",411,39.0075328862408,411,39.6593673965937,37.3055504598827
"AFG","Afghanistan","Area","Rural","numeracy",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",351,42.6998912857123,351,44.1595441595442,43.7843930261231
"AFG","Afghanistan","Area","Rural","numeracy",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",229,49.2722988648574,227,55.5066079295154,48.2514989867752
